text,intent
start the memory game,START_MEMORY_GAME
open the memory game,START_MEMORY_GAME
let's play the memory game,START_MEMORY_GAME
I want to play memory,START_MEMORY_GAME
start memory practice,START_MEMORY_GAME
begin the memory game,START_MEMORY_GAME
play memory game,START_MEMORY_GAME
can we start memory,START_MEMORY_GAME
start memory,START_MEMORY_GAME
open memory practice,START_MEMORY_GAME
I want to practice memory,START_MEMORY_GAME
let me play the memory game,START_MEMORY_GAME
begin memory practice,START_MEMORY_GAME
start a memory exercise,START_MEMORY_GAME
can I play memory,START_MEMORY_GAME
please start memory game,START_MEMORY_GAME
I want the memory game,START_MEMORY_GAME
take me to memory game,START_MEMORY_GAME
start my memory exercise,START_MEMORY_GAME
let's do memory practice,START_MEMORY_GAME
begin the memory exercise,START_MEMORY_GAME
play the memory exercise,START_MEMORY_GAME
memory game please,START_MEMORY_GAME
start the attention game,START_ATTENTION_GAME
open the attention game,START_ATTENTION_GAME
let's play the attention game,START_ATTENTION_GAME
I want to play attention,START_ATTENTION_GAME
start attention practice,START_ATTENTION_GAME
begin the attention game,START_ATTENTION_GAME
play attention game,START_ATTENTION_GAME
can we start attention,START_ATTENTION_GAME
start attention,START_ATTENTION_GAME
open attention practice,START_ATTENTION_GAME
I want to practice attention,START_ATTENTION_GAME
let me play the attention game,START_ATTENTION_GAME
begin attention practice,START_ATTENTION_GAME
start an attention exercise,START_ATTENTION_GAME
can I play attention,START_ATTENTION_GAME
please start attention game,START_ATTENTION_GAME
I want the attention game,START_ATTENTION_GAME
take me to attention game,START_ATTENTION_GAME
start my attention exercise,START_ATTENTION_GAME
let's do attention practice,START_ATTENTION_GAME
begin the attention exercise,START_ATTENTION_GAME
play the attention exercise,START_ATTENTION_GAME
attention game please,START_ATTENTION_GAME
start the recall game,START_RECALL_GAME
open the recall game,START_RECALL_GAME
let's play the recall game,START_RECALL_GAME
I want to play recall,START_RECALL_GAME
start recall practice,START_RECALL_GAME
begin the recall game,START_RECALL_GAME
play recall game,START_RECALL_GAME
can we start recall,START_RECALL_GAME
start recall,START_RECALL_GAME
open recall practice,START_RECALL_GAME
I want to practice recall,START_RECALL_GAME
let me play the recall game,START_RECALL_GAME
begin recall practice,START_RECALL_GAME
start a recall exercise,START_RECALL_GAME
